author,hsl,age,dbh,height,biom
Bartelink,23,20,8.4,9.8,22.7
Bartelink,23,20,9.9,11.25,29.2
Bartelink,23,20,10.7,9.7,38.7
Bartelink,23,21,10.6,9.75,31.3
Bartelink,23,21,10.7,9.3,32
Bartelink,23,21,7,8.4,11.3
Bartelink,23,21,6.8,8.85,13.6
Bartelink,23,40,16,17.9,109
Bartelink,23,40,15.7,18.2,131
Bartelink,23,40,20.4,17.2,218
Bartelink,23,40,21,19.35,225
Bartelink,23,58,32.7,22.5,665
Bartelink,23,58,24.1,23,354
Bartelink,23,20,10.5,10.1,27.7
Bartelink,23,22,6.1,7.1,7.46
Bartelink,23,22,10.7,8.2,25.9
Bartelink,23,22,14,9.6,46.8
Bartelink,23,22,5.9,8.45,8.92
Bartelink,23,22,13.2,9.45,80.2
Bartelink,23,22,7.4,7.85,11.7
Bartelink,23,59,32.2,22.35,672
Bartelink,23,59,24.5,21.6,307
Bartelink,23,41,15.1,18.95,116
Bartelink,23,41,13.5,18.35,81.9
Bartelink,23,38,22.6,16.3,190
Bartelink,23,41,21.3,19.15,221
Bartelink,23,41,22.9,21.35,237
Bartelink,23,11,2.5,3.7,1.08
Bartelink,23,11,4,4,3.27
Bartelink,23,11,3.8,4.9,2.55
Bartelink,23,11,3,3.55,2.55
Bartelink,23,11,3.8,3.7,3.83
Bartelink,23,11,2.1,2.8,0.812
Bartelink,23,8,2,2.8,1.31
Bartelink,23,8,2.4,3.8,1.11
Bartelink,23,8,2.2,4,1.06
Heller,500,57,6,8.8,8.13
Heller,500,57,5,8.05,4.25
Heller,500,57,9.3,11.1,25.8
Heller,500,57,6.5,10.05,17.4
Heller,500,57,8.5,11,24.6
Heller,500,57,7.5,11.4,18.3
Heller,500,57,8.8,12.35,26.1
Heller,500,57,8.8,11.75,24.5
Heller,500,78,16,19.95,144
Heller,500,78,18.2,18.85,143
Heller,500,78,19.9,20.65,191
Heller,500,57,5.5,7.45,5.79
Heller,500,78,16.3,18.18,123
Heller,500,78,21.1,18.85,213
Heller,500,78,13.2,19.78,83
Heller,500,78,14.4,18.3,97.2
Heller,500,78,19.1,18.3,158
Heller,500,78,16.9,19.7,98.7
Heller,500,78,25.2,19.9,302
Heller,500,78,21.1,22.5,241
Heller,500,120,39.5,27.7,1120
Heller,500,120,32.4,25.7,683
Heller,500,57,5,8.7,5.24
Heller,500,57,4.5,7.6,4.2
Heller,500,57,4.5,9.7,5.28
Heller,500,57,3.5,6.7,3.71
Heller,500,57,3.5,7.5,2.8
Heller,500,57,3.5,7.65,2.86
Heller,500,57,3,7.4,3.03
Joosten,440,70,19.8,22.9,167
Joosten,500,130,36.1,28.8,864
Joosten,285,127,37.3,26.2,1010
Joosten,280,81,25.6,23,382
Joosten,270,81,14.7,19.6,107
Joosten,285,127,48.7,30.7,1960
Joosten,270,81,20,24.3,239
Joosten,290,44,13.4,13.4,65
Joosten,500,42,19.9,15.3,161
Joosten,440,92,31.1,25.2,524
Joosten,500,130,46.6,28.7,1420
Joosten,285,127,55.2,32.8,2380
Joosten,290,34,12.7,12,58.8
Joosten,290,44,15.7,13.8,75.5
Joosten,31,73,7.2,8,20.9
Joosten,500,42,16.8,16,87.8
Joosten,440,70,21.5,22.2,300
Joosten,285,127,45.4,31.5,1700
Joosten,470,107,37.7,24.4,985
Joosten,285,127,42.3,28.9,1440
Joosten,30,78,20.9,24.1,312
Joosten,290,44,6.5,10.3,13.2
Joosten,290,45,6.3,8.4,12.5
Joosten,480,48,7.4,10.4,9.71
Joosten,285,127,39.5,29.6,1120
Joosten,420,105,30.2,26.6,642
Joosten,36,103,51,29.2,2140
Joosten,285,127,43.1,32,1860
Joosten,280,81,31.8,25.3,649
Joosten,290,34,3.6,4.8,2.46
Joosten,30,20,10.2,11.3,36.8
Joosten,30,78,30.2,26.2,690
Joosten,36,103,70.2,30.6,4430
Joosten,32,52,12.9,15.2,80.3
Joosten,500,42,21.2,16.8,182
Joosten,440,70,25.8,22.6,368
Joosten,290,44,17.1,14.6,122
Joosten,480,48,10.2,14.8,43.7
Joosten,270,81,23.9,23.8,271
Joosten,440,173,60.2,25.5,2630
Joosten,500,130,39.6,28.5,1110
Joosten,270,81,11.8,14.5,56
Joosten,30,20,15.2,13.5,97.1
Joosten,410,152,66.6,28.7,3880
Joosten,440,70,33.3,22.4,702
Joosten,280,81,27.1,26.2,498
Joosten,280,81,12.2,14.6,59.9
Joosten,290,45,4,7.1,3.42
Joosten,455,18,3.5,6,2.31
Joosten,30,78,35.4,27.3,943
